id,title,release date,genre,vote average,popularity,poster,original language,adult
726684,Miraculous World: Shanghai – The Legend of Ladydragon,2021-05-15,16 35 10751 12,7.9,409.854,/qQ0VKsGRQ2ofAmswGNzZnvC1xPE.jpg,fr,0
524369,The Many Saints of Newark,2021-09-22,80 18,6.8,409.52,/l5so4LOVLxNkiQiPbCX0FqwM8MO.jpg,en,0
1930,The Amazing Spider-Man,2012-06-23,28 12 14,6.6,395.26,/jIfkQNARYyERqRAq1p1c8xgePp4.jpg,en,0
354912,Coco,2017-10-27,10751 16 14 10402 35 12,8.2,391.707,/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg,en,0
791373,Zack Snyder's Justice League,2021-03-18,28 12 14 878,8.4,388.208,/yWmbO5tQNlIpIEt6nNKD72TpXtM.jpg,en,0
681887,Cosmic Sin,2021-03-12,878,4.4,385.852,/6Wm7P6y22UZA40QuPYHyWyJ6leI.jpg,en,0
762469,Father Christmas Is Back,2021-11-07,35 10751,5.4,373.636,/mI6mFCO3lrJ4ovzwfmoLs58uhlK.jpg,en,0
581726,Infinite,2021-09-09,878 28 53,6.9,371.166,/niw2AKHz6XmwiRMLWaoyAOAti0G.jpg,en,0
613504,After We Collided,2020-09-02,10749 18,7.3,367.547,/kiX7UYfOpYrMFSAGbI6j1pFkLzQ.jpg,en,0
685274,Mobile Suit Gundam Hathaway,2021-06-11,16 28 18 878,8.1,366.612,/6gw8onh4FKsruBA7Oouv01EFxzn.jpg,ja,0
399566,Godzilla vs. Kong,2021-03-24,28 12 14,7.9,359.532,/pgqgaUx1cJb5oZQQ5v0tNARCeBp.jpg,en,0
840756,Lokillo,2021-06-15,35,6.3,359.298,/11z4nAYm1ZYIEzTvG0dzyKDBn6R.jpg,es,0
19995,Avatar,2009-12-10,28 12 14 878,7.5,354.625,/jRXYjXNq0Cs2TcJjLkki24MLp7u.jpg,en,0
852663,LEGO Monkie Kid: A Hero Is Born,2020-06-13,16 10770 28 35 14,2.0,352.191,/3LDHJRNu7er4QH1EJsFLuUmhOWB.jpg,en,0
581644,The Misfits,2021-06-10,28,5.6,180.688,/dPOyYnCkRbWAEem85N3VFpQODf5.jpg,en,0
324786,Hacksaw Ridge,2016-10-07,18 36 10752,8.2,180.254,/fTuxNlgEm04PPFkr1xfK94Jn8BW.jpg,en,0
512025,There's Someone Inside Your House,2021-09-24,27 53 9648,5.8,180.026,/GaPJQscaH4MtYQTbJyWjCUIho8.jpg,en,0
784500,Pretty Guardian Sailor Moon Eternal The Movie Part 2,2021-02-11,16 28 12 35 18 14 10749,8.2,179.414,/f91rtk8dODezNLT3grQrELyzFwA.jpg,ja,0
763532,Long Story Short,2021-02-11,10749 35 14,7.2,179.272,/oAJ95mBgB0yAKCS5a3Tw5UxjLEp.jpg,en,0
567189,Tom Clancy's Without Remorse,2021-04-29,28 53,7.2,178.077,/6GCOpT8QcNzup09TAMmvvk22LTR.jpg,en,0
740925,No One Gets Out Alive,2021-09-29,27 53 9648,6.1,176.556,/bZUostLcCZYgcuBuAjmuSkBggiQ.jpg,en,0
882812,No me echen ese muerto,2021-10-09,35,7.4,175.48,/micqKpKDKeC1Nu1Ku1MNIMLV276.jpg,es,0
848932,Why Women Cheat,2021-07-06,10749,4.5,175.28,/xHJhH0pGTFLsECDry3G170M8fsG.jpg,en,0
597433,Beckett,2021-08-04,28 12 80 18 9648 53,6.4,174.767,/fBJducGBcmrcIOQdhm4BUBNDiMu.jpg,en,0
883648,Little Big Mouth,2021-10-22,35,5.3,174.711,/zUaPkPM3epw15ys0htlPJM0Bu0N.jpg,en,0
811367,22 vs. Earth,2021-04-30,10751 35 14 16,7.1,174.593,/32vLDKSzcCMh55zqqaSqqUA8naz.jpg,en,0
741074,Once Upon a Snowman,2020-10-23,16 10751 35 14,6.9,174.363,/hddzYJtfYYeMDOQVcH58n8m1W3A.jpg,en,0
198663,The Maze Runner,2014-09-10,28 9648 878 53,7.2,172.576,/ode14q7WtDugFDp78fo9lCsmay9.jpg,en,0
324857,Spider-Man: Into the Spider-Verse,2018-12-06,28 12 16 878 35,8.4,171.384,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,en,0
522241,The Courier,2021-03-18,53 36 18,7.2,170.902,/zFIjKtZrzhmc7HecdFXXjsLR2Ig.jpg,en,0
572154,Rascal Does Not Dream of a Dreaming Girl,2019-06-15,16 35 10749 18 14,8.5,170.055,/pvdBzHOWjrLl69lUswPiVnI8szv.jpg,ja,0
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,2021-03-08,16 28 18 878,8.6,169.956,/jDwZavHo99JtGsCyRzp4epeeBHx.jpg,ja,0
786705,Confessions of an Invisible Girl,2021-09-22,35 18,6.9,168.118,/fRxz9cKaCOF5noUBvoA6cebOdUE.jpg,pt,0
39254,Real Steel,2011-09-28,28 878 18,6.9,166.79,/4GIeI5K5YdDUkR3mNQBoScpSFEf.jpg,en,0
763873,Under Wraps,2021-10-01,35 10751 14,7.0,193.401,/2EnHRyHdboUWz120LDiAk2M2Lgc.jpg,en,0
615457,Nobody,2021-03-18,28 80 53 18,8.3,193.122,/oBgWY00bEFeZ9N25wWVyuQddbAo.jpg,en,0
303857,Dragon Ball Z: Resurrection 'F',2015-04-18,28 16 878,6.8,192.932,/vBXWdNFs6mCOmq7x761ATxuLXFi.jpg,ja,0
773660,Este amor es de otro planeta,2021-03-31,35 10749,4.5,191.059,/1bdjpX9l2tueek5gUOm7LntLXMX.jpg,es,0
590995,The Craft: Legacy,2020-10-28,27 18 14,6.4,190.301,/lhMIra0pqWNuD6CIXoTmGwZ0EBS.jpg,en,0
785544,We Couldn't Become Adults,2021-11-05,10749 18,4.0,189.528,/z3ul9VzWk8Vk5ic7EKujLn8eDeP.jpg,cs,0
871875,Escape The Undertaker,2021-10-05,27 9648 10751,5.3,189.448,/dSF7INctoCQ4iPFRiRkZjIQIIVa.jpg,en,0
193893,Let's Be Cops,2014-08-13,35,6.4,187.505,/pf4FoUr2phn5WyZjU7rLXSiW1Ve.jpg,en,0
581387,Ashfall,2019-12-19,28 12 53,6.5,185.832,/gCZ0RHifBxZGedde7WPWSgjpyZt.jpg,ko,0
11932,Bride of Chucky,1998-10-16,27 35 10749,5.9,185.752,/mAGviFp1ufYM3EaZBSrjPiKPBt6.jpg,en,0
743439,PAW Patrol: Jet to the Rescue,2021-12-02,10751 16,0.0,185.718,/qHcn3PbjVHxBweDZxWpYH3JfugS.jpg,en,0
532067,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,2019-08-30,12 35 16 14,8.5,185.062,/j73LuQcA21KvkVFcroWWMN8tTJv.jpg,ja,0
337401,Mulan,2020-09-04,12 14,7.0,184.499,/aKx1ARwG55zZ0GpRvU2WrGrCG9o.jpg,en,0
774456,García y García,2021-08-27,35,3.2,184.384,/8V8ctsflyc03T0gN5Sr79rAbIof.jpg,es,0
38234,Undisputed III: Redemption,2010-05-22,28 53,7.5,183.925,/g8KB77SPA7SyU8eid6TAEpt9skU.jpg,en,0
15092,Crank: High Voltage,2009-04-16,28 53 80,6.0,182.9,/tzTC4EEvF0OPL63frEiogxL2T8M.jpg,en,0
638045,The Toll,2021-03-26,53 27,6.2,182.654,/q6vV6sSWz9cytmc8L9IEBjjyFmV.jpg,en,0
550205,Wish Dragon,2021-01-15,16 10751 35 14,8.2,182.637,/lnPf6hzANL6pVQTxUlsNYSuhT5l.jpg,en,0
24021,The Twilight Saga: Eclipse,2010-06-23,12 14 18 10749,6.2,181.728,/3mFM80dPzSqoXXuC2UMvLIRWX32.jpg,en,0
25769,Carriers,2009-09-04,28 18 27 878 53,5.9,180.878,/jxjnjHtHXgvjdhkwpelE9ZwVMg6.jpg,en,0
849938,Framed by My Husband,2021-07-10,10770 53,2.0,232.693,/kPs3o3EfV1ZfS79JmTKpAO7wVFY.jpg,en,0
880009,Catalina la Catrina: especial Día de Muertos,2021-10-01,10751 16,3.3,231.577,/siGmPNbxKdooHm7unHpiBSdfYpR.jpg,es,0
400160,The SpongeBob Movie: Sponge on the Run,2020-08-14,10751 16 14 12 35,7.7,231.339,/jlJ8nDhMhCYJuzOw3f52CP1W8MW.jpg,en,0
739990,Nightbooks,2021-09-15,14 10751,6.6,230.719,/ysJte1iqN8pFQ470tumnViB1wHP.jpg,en,0
449406,Vivo,2021-07-30,16 10751 35,7.7,228.425,/eRLlrhbdYE7XN6VtcZKy6o2BsOw.jpg,en,0
505262,My Hero Academia: Two Heroes,2018-08-03,16 28 12 14,8.0,228.347,/hC4nTxdhXqFWzgqynGvvXVMiMNp.jpg,ja,0
674,Harry Potter and the Goblet of Fire,2005-11-16,12 14 10751,7.8,227.464,/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg,en,0
522478,Peter Rabbit 2: The Runaway,2021-03-25,10751 35 12 16 14,7.4,226.5,/cycDz68DtTjJrDJ1fV8EBq2Xdpb.jpg,en,0
768744,My Hero Academia: World Heroes' Mission,2021-08-06,16 28 35 14 12,7.3,224.059,/4NUzcKtYPKkfTwKsLjwNt8nRIXV.jpg,ja,0
347201,Boruto: Naruto the Movie,2015-08-07,16 28 35,7.7,222.659,/1k6iwC4KaPvTBt1JuaqXy3noZRY.jpg,ja,0
729720,The Last Mercenary,2021-07-30,28 35,6.8,222.443,/ttpKJ7XQxDZV252KNEHXtykYT41.jpg,fr,0
673,Harry Potter and the Prisoner of Azkaban,2004-05-31,12 14,8.0,222.271,/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg,en,0
891060,Spider-Man: Lotus,,28 18,0.0,220.676,/v23iv8zx6REmGCr7OCvmOx034Ka.jpg,en,0
559,Spider-Man 3,2007-05-01,14 28 12,6.3,218.002,/sqZKCRYGovZ8aN99VVJSdL8Ja9k.jpg,en,0
891657,LEGO Hidden Side: Night of the Harbinger,2020-10-31,16,3.0,217.83,/yoDchepiE9Tcv36ivkzOF4z75ws.jpg,en,0
24428,The Avengers,2012-04-25,878 28 12,7.7,216.363,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,en,0
637693,Spirit Untamed,2021-05-20,16 12 10751 37,7.8,215.341,/q4WaFHk9Vp1poc88X1szwFRtYc5.jpg,en,0
529106,Major Grom: Plague Doctor,2021-04-01,28 12,6.9,215.133,/wnesEmcq7xdw1Rm1Bn6XEFTkenR.jpg,ru,0
12444,Harry Potter and the Deathly Hallows: Part 1,2010-10-17,12 14,7.8,214.958,/f1geQ0I9UETRF1ed30voZfw8zT.jpg,en,0
834404,Teen Titans Go! See Space Jam,2021-06-20,16 28 12 35 10751 14 878,7.0,212.391,/rMoVOCw6DF3zC6hS76ZhQMWiXNX.jpg,en,0
850818,Barbie: Big City Big Dreams,2021-08-20,16 10402 10751,7.2,210.77,/jeggetf6lrd0dhtcbqJH75Sik4K.jpg,en,0
866408,Mutation on Mars,2021-08-27,18 878,6.3,210.478,/h4HcBZC8XMuSFBNxWu7qd34tFDI.jpg,zh,0
617502,Jolt,2021-07-15,28 35,6.8,209.468,/gYZAHan5CHPFXORpQMvOjCTug4E.jpg,en,0
299534,Avengers: Endgame,2019-04-24,12 878 28,8.3,209.225,/or06FN3Dka5tukK1e9sl16pB3iy.jpg,en,0
734265,Love Hard,2021-11-05,35 10749,7.1,208.039,/oTkAFDZRLnqrXOrOwuy3Tvul0v5.jpg,en,0
531219,Roald Dahl's The Witches,2020-10-25,10751 14 12 35 27,6.5,206.776,/b1C0FuXp4wiPmHLVKq4kwtDMgK6.jpg,en,0
767,Harry Potter and the Half-Blood Prince,2009-07-07,12 14,7.7,206.729,/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,en,0
623135,Sinkhole,2021-08-11,35 18,7.3,206.551,/alBxLvZ5LkDRJPw4TX1PgkWLE8a.jpg,ko,0
586047,Seobok,2021-04-12,878 28,7.5,205.513,/nxxuWC32Y6TULj4VnVwMPUFLIpK.jpg,ko,0
841755,Mortal Kombat Legends: Battle of the Realms,2021-08-30,16 28 14,8.1,204.863,/ablrE8IbWcIrAxMmm4gnPn75AMS.jpg,en,0
12445,Harry Potter and the Deathly Hallows: Part 2,2011-07-07,14 12,8.1,201.04,/da22ZBmrDOXOCDRvr8Gic8ldhv4.jpg,en,0
678580,El mesero,2021-07-15,35,8.3,199.278,/zvGC5jX5wQmU1GgPc0VGZz7Mtcs.jpg,es,0
826914,Muppets Haunted Mansion,2021-10-08,35 10751 10770,6.9,198.106,/yTQbZCxZ4amGZKC9ETjTr7ZAH7L.jpg,en,0
410113,The Loud House Movie,2021-08-20,16 10751 35 10402 14,8.4,197.269,/mab5wPeGVjbMyYMzyzfdKKnG9cl.jpg,fr,0
585083,Hotel Transylvania: Transformania,2022-01-14,10751 16 14 35 12,0.0,197.06,/6zt5l4DYV1kLPL5Vqz1kLq3THXD.jpg,en,0
675,Harry Potter and the Order of the Phoenix,2007-06-28,12 14 9648,7.7,195.651,/s836PRwHkLjrOJrfW0eo7B4NJOf.jpg,en,0
425909,Ghostbusters: Afterlife,2021-11-11,35 14,8.4,195.353,/kHNWm8YDl1Pf6tyzluLagbtkU94.jpg,en,0
159211,The Haunting of Helena,2013-01-14,27 53,5.6,195.161,/iB8rf8FYHGlrbmLybCo6Mpg8hNt.jpg,en,0
8960,Hancock,2008-07-01,14 28,6.3,193.798,/7DyuV2G0hLEqHeueDfOqhZ2DVut.jpg,en,0
385687,Fast & Furious 10,2023-04-06,28 80,0.0,193.454,/2DyEk84XnbJEdPlGF43crxfdtHH.jpg,en,0
778552,The Penitent Thief,2021-02-25,18,4.8,113.344,/2IHmKFzWDkUVqbLfy01M2eSQM5e.jpg,en,0
22803,Law Abiding Citizen,2009-10-15,18 80 53,7.3,113.298,/fcEXcip7v0O1ndV4VUdFqJSqbOg.jpg,en,0
381749,Porn to Be Free,2016-06-24,99,5.4,113.128,/xhB2hGJBSvK69ZDOZJvNnoGh9vL.jpg,it,0
878231,The Secret Lives of College Freshmen,2021-09-24,10770 53,2.0,113.117,/6B2xwjjNSILqkMF9rNhnWbDGmKx.jpg,en,0
615677,We Can Be Heroes,2020-12-25,28 14 10751 35,6.3,112.646,/1S21HpcKY6uQ9UAw68aICmrJaq6.jpg,en,0
10674,Mulan,1998-06-18,16 10751 12,7.9,112.609,/5TYgKxYhnhRNNwqnRAKHkgfqi2G.jpg,en,0
72331,Abraham Lincoln: Vampire Hunter,2012-06-20,28 14 27,5.7,112.586,/5dTZylzoBV9qsrub9vYLAZrNkX3.jpg,en,0
2062,Ratatouille,2007-06-28,16 35 10751 14,7.8,112.433,/npHNjldbeTHdKKw28bJKs7lzqzj.jpg,en,0
578701,Those Who Wish Me Dead,2021-05-05,53,7.0,112.274,/xCEg6KowNISWvMh8GvPSxtdf9TO.jpg,en,0
578908,Bad Trip,2020-03-26,35,6.1,112.117,/A1Gy5HX3DKGaNW1Ay30NTIVJqJ6.jpg,en,0
495764,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020-02-05,28 80,7.0,112.035,/h4VB6m0RwcicVEZvzftYZyKXs6K.jpg,en,0
167032,Curse of Chucky,2013-10-04,27 53,5.8,111.789,/z8DuxyerlwSUbsDYfPiInsdsa1X.jpg,en,0
44251,Dragon Ball Z: Broly – Second Coming,1994-03-12,16 28 878,6.7,111.595,/4CkArpSqySpBQH95Oqr94ktU6rU.jpg,ja,0
259693,The Conjuring 2,2016-05-13,27 9648 53,7.3,111.522,/zEqyD0SBt6HL7W9JQoWwtd5Do1T.jpg,en,0
4247,Scary Movie,2000-07-07,35,6.3,111.385,/lRQiJXETkCnVVurHmglNvMXrZOx.jpg,en,0
